Categoria,Subcategoria,Janeiro,Fevereiro,Março,Abril,Maio,Junho,Julho,Agosto,Setembro,Outubro,Novembro,Dezembro,Total Ano
RECEITA BRUTA,Venda E-commerce,,,,,,,,,,,,,
RECEITA BRUTA,Venda Marketplace,,,,,,,,,,,,,
RECEITA BRUTA,Venda B2B/Wholesale,,,,,,,,,,,,,
RECEITA BRUTA,Venda Eventos/Pop-up,,,,,,,,,,,,,
(=) RECEITA BRUTA TOTAL,,,,,,,,,,,,,,
(-) DEDUÇÕES,Impostos sobre venda,,,,,,,,,,,,,
(-) DEDUÇÕES,Devoluções/Cancelamentos,,,,,,,,,,,,,
(=) RECEITA LÍQUIDA,,,,,,,,,,,,,,
(-) CMV,Matéria-prima,,,,,,,,,,,,,
(-) CMV,Mão de obra de produção,,,,,,,,,,,,,
(-) CMV,Embalagem,,,,,,,,,,,,,
(=) LUCRO BRUTO,,,,,,,,,,,,,,
(-) DESPESAS OPERACIONAIS,Marketing e conteúdo,,,,,,,,,,,,,
(-) DESPESAS OPERACIONAIS,Plataforma e-commerce/Olist,,,,,,,,,,,,,
(-) DESPESAS OPERACIONAIS,Logística e frete,,,,,,,,,,,,,
(-) DESPESAS OPERACIONAIS,Folha de pagamento,,,,,,,,,,,,,
(-) DESPESAS OPERACIONAIS,Pró-labore,,,,,,,,,,,,,
(-) DESPESAS OPERACIONAIS,Contabilidade/BPO financeiro,,,,,,,,,,,,,
(-) DESPESAS OPERACIONAIS,Aluguel/Estrutura,,,,,,,,,,,,,
(-) DESPESAS OPERACIONAIS,Outras despesas administrativas,,,,,,,,,,,,,
(=) RESULTADO OPERACIONAL (EBITDA),,,,,,,,,,,,,,
(-) Depreciação/Amortização,,,,,,,,,,,,,,
(=) RESULTADO ANTES DE IR,,,,,,,,,,,,,,
(-) Impostos sobre o lucro,,,,,,,,,,,,,,
(=) RESULTADO LÍQUIDO,,,,,,,,,,,,,,
MARGEM DE CONTRIBUIÇÃO (%),,,,,,,,,,,,,,
MARGEM LÍQUIDA (%),,,,,,,,,,,,,,
